date,avg_daily_return
2015-11-09,-1.3441
2015-11-10,-0.5713
2015-11-11,0.0402
2015-11-12,-0.6422
2015-11-13,-1.5756
2015-11-16,2.4586
2015-11-17,-0.4529
2015-11-18,1.8746
2015-11-19,0.2007
2015-11-20,0.03
2015-11-23,-0.257
2015-11-24,0.3488
2015-11-25,0.5502
2015-11-27,-0.0072
2015-11-30,-0.0611
2015-12-01,1.0577
2015-12-02,-0.9115
2015-12-03,-1.4532
2015-12-04,1.8825
2015-12-07,-0.0359
2015-12-08,0.0317
2015-12-09,-0.4514
2015-12-10,0.1572
2015-12-11,-2.4269
2015-12-14,0.4204
2015-12-15,-0.4626
2015-12-16,1.5883
2015-12-17,-1.3234
2015-12-18,-1.5048
2015-12-21,0.1052
2015-12-22,-0.0969
2015-12-23,0.3447
2015-12-24,-0.4503
2015-12-28,0.436
2015-12-29,1.2357
2015-12-30,-0.3251
2015-12-31,-0.6431
2016-01-04,0.0495
2016-01-05,-0.9076
2016-01-06,0.3903
2016-01-07,-0.9279
2016-01-08,-2.0479
2016-01-11,-0.8093
2016-01-12,-0.0673
2016-01-13,-3.9923
2016-01-14,1.7135
2016-01-15,0.5769
2016-01-19,-1.5645
2016-01-20,1.1258
2016-01-21,-0.5891
2016-01-22,1.0531
2016-01-25,-1.8538
2016-01-26,0.2818
2016-01-27,-1.4721
2016-01-28,0.0415
2016-01-29,1.8314
2016-02-01,0.8593
2016-02-02,-2.4385
2016-02-03,-2.1937
2016-02-04,1.0066
2016-02-05,-3.0703
2016-02-08,-0.8909
2016-02-09,1.7849
2016-02-10,-1.4524
2016-02-11,0.7622
2016-02-12,-0.2406
2016-02-16,0.07
2016-02-17,2.213
2016-02-18,-1.8095
2016-02-19,0.5546
2016-02-22,0.9778
2016-02-23,-1.1648
2016-02-24,1.9772
2016-02-25,1.6982
2016-02-26,-0.6485
2016-02-29,-0.3808
2016-03-01,1.3031
2016-03-02,1.1657
2016-03-03,0.5473
2016-03-04,0.2059
2016-03-07,0.5181
2016-03-08,0.2727
2016-03-09,1.2049
2016-03-10,-0.9961
2016-03-11,0.7633
2016-03-14,0.652
2016-03-15,0.9165
2016-03-16,1.2802
2016-03-17,1.16
2016-03-18,-0.4927
2016-03-21,0.5843
2016-03-22,0.4707
2016-03-23,-1.1786
2016-03-24,1.2445
2016-03-28,-0.5509
2016-03-29,1.4397
2016-03-30,-0.6065
2016-03-31,-0.0949
2016-04-01,0.4389
2016-04-04,-0.3749
2016-04-05,0.9993
2016-04-06,1.7509
2016-04-07,-1.5957
2016-04-08,-1.1362
2016-04-11,-0.4456
2016-04-12,0.623
2016-04-13,1.1686
2016-04-14,0.7196
2016-04-15,0.2986
2016-04-18,0.6665
2016-04-19,-0.9512
2016-04-20,0.0574
2016-04-21,-0.1582
2016-04-22,0.2777
2016-04-25,0.2263
2016-04-26,-0.4494
2016-04-27,0.1074
2016-04-28,-1.7529
2016-04-29,-0.3872
2016-05-02,0.3695
2016-05-03,-0.586
2016-05-04,-0.7444
2016-05-05,-1.5281
2016-05-06,1.1099
2016-05-09,-0.8695
2016-05-10,0.7045
2016-05-11,-0.5869
2016-05-12,-0.9442
2016-05-13,-0.4906
2016-05-16,1.1919
2016-05-17,-1.4965
2016-05-18,0.8641
2016-05-19,-0.0508
2016-05-20,0.7353
2016-05-23,-0.511
2016-05-24,1.1639
2016-05-25,0.5838
2016-05-26,0.5298
2016-05-27,0.499
2016-05-31,0.3274
2016-06-01,0.0271
2016-06-02,-0.1382
2016-06-03,-0.4315
2016-06-06,0.3769
2016-06-07,0.4911
2016-06-08,0.3578
2016-06-09,-0.1596
2016-06-10,-0.7865
2016-06-13,-0.2353
2016-06-14,-0.4993
2016-06-15,-0.2707
2016-06-16,0.6523
2016-06-17,-0.9797
2016-06-20,-0.601
2016-06-21,0.3677
2016-06-22,-0.5559
2016-06-23,0.7074
2016-06-24,0.1671
2016-06-27,-0.1804
2016-06-28,0.3599
2016-06-29,1.3403
2016-06-30,0.8222
2016-07-01,1.2593
2016-07-05,0.2577
2016-07-06,1.2987
2016-07-07,0.2298
2016-07-08,0.5533
2016-07-11,0.6879
2016-07-12,0.6654
2016-07-13,-0.581
2016-07-14,0.1293
2016-07-15,-0.4224
2016-07-18,1.2464
2016-07-19,0.1113
2016-07-20,0.2406
2016-07-21,-0.6657
2016-07-22,0.2499
2016-07-25,0.4919
2016-07-26,0.2624
2016-07-27,-0.3174
2016-07-28,0.6121
2016-07-29,0.5926
2016-08-01,0.2412
2016-08-02,-0.4648
2016-08-03,0.3656
2016-08-04,0.6056
2016-08-05,0.7974
